,Name,Venue Name,Venue Address,Date,Time,Price,Ticket Link
26,Reggae Rise Up & S&S Presents - Big Something - Ries Brothers,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 13, 2024",Event: 6:00am,$18.00,https://www.24tix.com/event/qpwmf3zlcnhebeu77nkcaowztu
27,"S&S Presents - ROTTENBOY - Dogor, Horrible Penny",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 14, 2024",Event: 6:00am,$10.00,https://www.24tix.com/event/ajn6n2fm2fa33lgmcxyo26zi3m
28,S&S Presents - Deap Vally: live for the last time (farewell tour + Sistrionix in full and other favorites),The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 17, 2024",Event: 6:00am,$20.00,https://www.24tix.com/event/fgtdeaa5v5hu5mx26egsfmdvme
29,S&S Presents - Pixie & The Partygrass Boys,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 18, 2024",Event: 6:00am,$20.00,https://www.24tix.com/event/6mgr5xqahzf7jllmtg3yamykre
30,"JRC Events Presents - Shadow's Peak - Admitted Bastard, Among Wolves, Death Persona",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 22, 2024",Event: 6:00am,$13.00,https://www.24tix.com/event/cf74mly2jvcupgn4kp2hai4flu
31,S&S Presents - Metalachi,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 23, 2024",Event: 6:00am,$20.00,https://www.24tix.com/event/5tiojgml75copb2wdemvuwhwa4
32,S&S Presents - Devendra Banhart - Kate Bollinger,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 24, 2024",Event: 6:00am,$30.00,https://www.24tix.com/event/52jb54y4d5eipixebd4miknfpi
33,"S&S Presents - Guava Tree - Lapdog, Shadow Work",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 28, 2024",Event: 6:00am,$10.00,https://www.24tix.com/event/ia5y6trgqra4toiny62nmvvtge
34,S&S Presents - Bone Throwers Album Release,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 29, 2024",Event: 6:00am,$10.00,https://www.24tix.com/event/5ddouxdo7fb3rn2ssywbera6qa
35,S&S Presents - Heartbreaker Indie Dance Party,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 31, 2024",Event: 7:00am,$0.00,https://www.24tix.com/event/pfn7uw7bkfcy7f4ql4mi7gajjy
36,S&S Presents - Saxsquatch presents Big Foot Rave,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 02, 2024",Event: 6:00am,$17.00,https://www.24tix.com/event/bk5umv3dmzdrtbmlenoohqascm
37,Postfontaine Presents - BRUTUS,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 04, 2024",Event: 6:00am,$20.00,https://www.24tix.com/event/5xhesn5g3jbarmcxdbfqz7slzq
38,S&S Presents - Wheatus (Acoustic): Dirtbags Across America - Gabrielle Sterbenz,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 08, 2024",Event: 6:00am,$18.00,https://www.24tix.com/event/akg6arpe65c3tkzovkrgorvyre
39,S&S Presents - TWRP - Digital Nightmare 2024 Tour,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Apr 09, 2024",Event: 6:00am,$30.00,https://www.24tix.com/event/onuvrs5rdbgihd5urpo6722nam
