,loc_Name,loc_address,Singer_Name,Event_Time,Ticket Price,Ticket Link
43,Placeholder Location Name,Placeholder Location Address,Fleetwood Mask,Fri Mar 29,,https://www.axs.com/events/506421/fleetwood-mask-tickets?skin=stateroom
44,Placeholder Location Name,Placeholder Location Address,Charlie Parr,Sat Apr 6,,https://www.axs.com/events/524283/charlie-parr-tickets
45,Placeholder Location Name,Placeholder Location Address,Sierra Hull,Fri Apr 12,,https://www.axs.com/events/528587/sierra-hull-tickets?skin=stateroom
46,Placeholder Location Name,Placeholder Location Address,Andy Frasco & The U.N.,Sat Apr 13,,https://www.axs.com/events/501992/andy-frasco-the-u-n-tickets?skin=stateroom
47,Placeholder Location Name,Placeholder Location Address,The California Honeydrops,Tue Apr 16,,https://www.axs.com/events/526431/the-california-honeydrops-tickets?skin=stateroom
48,Placeholder Location Name,Placeholder Location Address,Drew Holcomb & The Neighbors,Sat May 4,,https://www.axs.com/events/500170/drew-holcomb-the-neighbors-tickets?skin=stateroom
49,Placeholder Location Name,Placeholder Location Address,Jason Isbell & The 400 Unit,Sat Jul 13,,https://www.axs.com/events/518029/jason-isbell-and-the-400-unit-tickets
50,Placeholder Location Name,Placeholder Location Address,The Dead South,Sat Aug 10,,https://www.axs.com/events/525678/the-dead-south-tickets?skin=stateroom
51,Placeholder Location Name,Placeholder Location Address,Tommy Emmanuel,Mon Feb 26,,https://my.arttix.org/32401/
52,Placeholder Location Name,Placeholder Location Address,Fort Desolation Fest,Thu Jun 6,,https://www.fortdesolation.com/fest/
53,Placeholder Location Name,Placeholder Location Address,Utah Blues Festival,Fri Jun 14,,https://www.axs.com/events/512583/2024-utah-blues-festival-friday-tickets/promos/677453
54,Placeholder Location Name,Placeholder Location Address,Nickel Creek & Andrew Bird,Wed Jul 10,,https://www.ticketmaster.com/event/1E006031C9A2291A
